"","sample25","sample50","sample100","meanCI"
"QUAC",0.143531118915228,0.128333333333333,0.1076545723806,0.0742846155987151
"QUAR",0.104641344380604,0.0985185185185184,0.0979009260053159,0.0870074941055747
"QUAU",0.133543188853191,0.118286114714603,0.0975126171593367,0.0696200776663949
"QUBO",0.133846153846154,0.135810925080331,0.111594053627219,0.0936035272876329
"QUCA",0.0871652412412472,0.0815672443515347,0.0743383268004154,0.0655234785637593
"QUCE",0.0857128313709649,0.0838409907711849,0.0740886066392146,0.0699676130773599
"QUEN",0.0886246728568846,0.0866503403424554,0.083012451081532,0.0772499302029416
"QUGE",0.13225087033653,0.117617617617618,0.0982464554770484,0.0649541499385409
"QUGR",0.144776119402985,0.127892385392385,0.102453832532254,0.0505061030024212
"QUHA",0.0926284509673772,0.0873095809067032,0.0788638416199259,0.0730084187654641
"QUHI",0.144018245809021,0.127696289905091,0.102079680498734,0.048772443141704
"QUOG",0.120591636268269,0.111277819454864,0.0979992968566891,0.0804750442137327
"QUPA",0.0782197313434779,0.0655612447597345,0.0587021317858074,0.052536602609939
"QUTO",0.0821175804149621,0.0702112738179252,0.0648271333007016,0.0605076284903888
